Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DEL,XNB,8/20/2025 4:50,8/20/2025 0:00,EY,Without Baggage,1,425,8/5/2025,oneway,138.72
DEL,XNB,8/20/2025 4:50,8/20/2025 0:00,EY,Without Baggage,1,480,8/5/2025,oneway,138.72
DEL,XNB,8/20/2025 9:15,8/20/2025 0:00,EY,Without Baggage,1,520,8/5/2025,oneway,147.08
DEL,XNB,8/20/2025 4:50,8/20/2025 0:00,EY,Without Baggage,1,785,8/5/2025,oneway,151.34
DEL,XNB,8/20/2025 4:50,8/20/2025 0:00,EY,Without Baggage,1,805,8/5/2025,oneway,151.34
DEL,DXB,8/20/2025 16:45,8/20/2025 0:00,SG,With Baggage,1,460,8/5/2025,oneway,155.64
DEL,DXB,8/20/2025 9:20,8/20/2025 0:00,SG,With Baggage,1,905,8/5/2025,oneway,155.64
DEL,XNB,8/20/2025 9:15,8/20/2025 0:00,EY,Without Baggage,1,540,8/5/2025,oneway,156.3
DEL,XNB,8/20/2025 9:15,8/20/2025 0:00,EY,Without Baggage,1,890,8/5/2025,oneway,156.3
DEL,XNB,8/20/2025 9:15,8/20/2025 0:00,EY,Without Baggage,1,910,8/5/2025,oneway,156.3
DEL,DXB,8/20/2025 5:10,8/20/2025 0:00,AI,With Baggage,2,2210,8/5/2025,oneway,157.55
DEL,DXB,8/20/2025 5:45,8/20/2025 0:00,AI,With Baggage,2,2175,8/5/2025,oneway,157.55
DEL,DXB,8/20/2025 17:40,8/20/2025 0:00,IX,With Baggage,1,1340,8/5/2025,oneway,158.73
DEL,DXB,8/20/2025 8:30,8/20/2025 0:00,AI,With Baggage,2,1720,8/5/2025,oneway,158.9
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,AI,With Baggage,2,1210,8/5/2025,oneway,161.05
DEL,DXB,8/20/2025 11:40,8/20/2025 0:00,AI,With Baggage,2,1830,8/5/2025,oneway,161.05
DEL,DXB,8/20/2025 10:55,8/20/2025 0:00,AI,With Baggage,2,1865,8/5/2025,oneway,161.05
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,AI,With Baggage,2,2240,8/5/2025,oneway,163.38
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,AI,With Baggage,2,2470,8/5/2025,oneway,163.38
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,AI,With Baggage,2,2605,8/5/2025,oneway,163.38
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,AI,With Baggage,2,2730,8/5/2025,oneway,163.38
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,AI,With Baggage,2,2870,8/5/2025,oneway,163.38
DEL,DXB,8/20/2025 13:15,8/20/2025 0:00,AI,With Baggage,2,1735,8/5/2025,oneway,163.82
DEL,DXB,8/20/2025 8:30,8/20/2025 0:00,AI,With Baggage,2,2015,8/5/2025,oneway,163.82
DEL,DXB,8/20/2025 10:15,8/20/2025 0:00,AI,With Baggage,2,1910,8/5/2025,oneway,163.82
DEL,DXB,8/20/2025 14:20,8/20/2025 0:00,AI,With Baggage,2,1665,8/5/2025,oneway,163.82
DEL,DXB,8/20/2025 21:00,8/20/2025 0:00,AI,With Baggage,2,1265,8/5/2025,oneway,163.82
